"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"70","DANIEL SANCHEZ",38,2,6,1,0,0,3,3,3,0,0,2,0,43,0.158,0.209,0.211,0.42
"71","DARIC BARTON",33,16,12,3,1,5,10,14,5,5,0,0,0,47,0.364,0.596,1.242,1.838
"72","DAVID VIDAL",60,14,18,4,1,2,11,6,19,4,0,0,0,66,0.3,0.4,0.617,1.017
"73","DELMON YOUNG",60,7,16,2,0,2,8,2,12,3,0,1,0,63,0.267,0.318,0.467,0.785
"74","DIEGO MADERO",54,5,13,4,0,0,2,4,12,1,0,1,1,60,0.241,0.3,0.389,0.689
"75","DOMINGO CASTRO",4,1,1,0,0,0,1,0,0,0,0,0,1,5,0.25,0.25,0.25,0.5
"76","DOMONIC BROWN",49,10,17,2,0,6,16,10,11,1,0,0,0,59,0.347,0.467,0.918,1.385
"77","DUSTIN GEIGER",58,11,28,9,0,3,18,5,12,3,0,2,0,65,0.483,0.529,1,1.529
"78","DUSTIN MARTIN",53,10,12,1,0,2,13,12,15,1,2,1,0,66,0.226,0.373,0.415,0.788
"79","EDSON GARCIA",63,9,16,1,0,2,11,6,7,1,2,1,1,71,0.254,0.324,0.413,0.737
"80","EDUARDO ARREDONDO",39,8,11,1,0,0,2,6,6,1,0,0,1,46,0.282,0.391,0.333,0.724
"81","ELIEZER ORTIZ",21,5,9,0,0,2,7,0,4,0,2,0,0,21,0.429,0.429,0.81,1.239
"82","ELISEO ALDAZABA",22,5,9,1,0,0,2,5,5,0,0,0,0,27,0.409,0.519,0.5,1.019
"83","ELMER REYES",58,9,19,3,1,1,11,2,10,4,0,1,0,61,0.328,0.385,0.552,0.937
"84","EMMANUEL AVILA",58,10,23,3,0,1,9,3,9,1,0,0,1,62,0.397,0.435,0.569,1.004
"85","ENRIQUE OSORIO",55,2,17,2,0,0,5,5,6,0,2,0,1,61,0.309,0.367,0.382,0.749
"86","ERIC AGUILERA",54,8,19,4,0,2,5,8,15,0,0,1,0,63,0.352,0.429,0.648,1.077
"87","ERIC MEZA",22,2,8,3,0,0,3,2,7,1,0,1,0,25,0.364,0.423,0.636,1.059
"88","ERICK RODRIGUEZ",5,0,1,0,0,0,0,0,0,0,0,0,0,5,0.2,0.2,0.2,0.4
"89","EVERTH CABRERA",55,4,12,4,1,0,6,5,16,0,5,0,4,64,0.218,0.283,0.418,0.701
"90","FELIX PEREZ",56,9,12,2,0,1,6,6,13,1,0,1,0,63,0.214,0.297,0.357,0.654
"91","FELIX PIE",46,6,12,5,0,2,5,8,5,0,1,1,0,55,0.261,0.364,0.652,1.016
"92","FERNANDO FLORES",38,2,4,1,0,1,3,2,8,0,0,0,0,40,0.105,0.15,0.263,0.413
"93","FRANCISCO CORDOBA",53,8,13,4,0,1,5,3,14,2,0,1,0,57,0.245,0.305,0.472,0.777
"94","FRANCISCO LUGO",12,1,3,0,0,0,2,0,1,0,1,1,0,13,0.25,0.231,0.25,0.481
"95","FRANCISCO RIVERA",27,3,7,0,1,1,4,2,2,1,0,0,0,29,0.259,0.333,0.519,0.852
"96","FRANK DIAZ",47,7,19,2,0,4,13,8,5,1,0,1,0,56,0.404,0.491,0.83,1.321
"97","GABRIEL GUTIERREZ",14,3,3,0,0,0,1,3,2,0,0,0,0,17,0.214,0.353,0.214,0.567
"98","GENARO ANDRADE",9,0,3,0,0,0,0,1,1,0,0,0,0,10,0.333,0.4,0.333,0.733
"99","GILBERTO GALAVIZ",40,7,8,4,0,0,5,3,1,1,1,0,0,43,0.2,0.273,0.4,0.673
"100","HANS WILSON",13,0,2,0,0,0,0,2,0,0,0,0,0,15,0.154,0.267,0.154,0.421
"101","HECTOR GOMEZ",71,22,24,11,0,2,11,2,19,0,1,0,0,73,0.338,0.356,0.761,1.117
"102","HECTOR HERNANDEZ",5,0,1,0,0,0,0,0,1,0,0,0,0,5,0.2,0.2,0.2,0.4
"103","HENRY ALEJANDRO RODRIGUEZ",58,6,21,3,0,1,10,6,9,0,0,0,0,64,0.362,0.422,0.534,0.956
"104","HENRY URRUTIA",55,13,20,4,0,2,10,9,11,0,3,0,0,64,0.364,0.453,0.655,1.108
"105","HUMBERTO CASTRO",47,7,13,0,0,0,6,8,6,3,2,1,1,57,0.277,0.407,0.277,0.684
"106","HUMBERTO SOSA",27,5,10,2,0,0,5,5,6,0,0,0,0,32,0.37,0.469,0.519,0.988
"107","ISAAC RODRIGUEZ SALAZAR",63,15,27,6,0,1,7,5,4,0,8,0,0,68,0.429,0.471,0.683,1.154
"108","ISIDRO PINA",42,5,18,1,0,0,9,3,2,0,0,1,2,48,0.429,0.457,0.476,0.933
"109","ISSMAEL SALAS",42,4,12,3,0,1,7,2,5,0,1,3,2,49,0.286,0.298,0.524,0.822
"110","IVAN ARAUJO",12,2,2,0,0,1,4,1,1,1,1,1,0,14,0.167,0.267,0.5,0.767
"111","IVAN BELLAZETIN",16,2,3,0,0,0,2,2,2,0,1,0,0,18,0.188,0.278,0.188,0.466
"112","IVAN JIMENEZ",39,2,7,0,0,0,0,3,18,1,1,0,4,46,0.179,0.256,0.179,0.435
"113","IVAN TERRAZAS",29,5,8,2,0,0,4,6,5,1,1,1,1,37,0.276,0.405,0.414,0.819
"114","J.P. RAMIREZ",19,2,4,0,0,1,3,1,5,0,0,0,0,20,0.211,0.25,0.421,0.671
"115","JAIME BRENA",5,3,2,0,0,0,1,2,0,0,1,0,0,7,0.4,0.571,0.4,0.971
"116","JAIME SANTOS",6,6,0,0,0,0,0,4,2,0,0,0,0,10,0,0.4,0,0.4
"117","JAMAR WALTON",61,8,16,4,1,1,8,4,9,1,1,0,0,65,0.262,0.318,0.508,0.826
"118","JASON BOURGEOIS",50,6,18,3,0,1,10,7,4,0,3,0,0,57,0.36,0.439,0.56,0.999
"119","JAVIER MIRELES",27,6,11,1,0,2,5,1,5,0,3,2,1,31,0.407,0.4,0.778,1.178
"120","JAVIER SALAZAR",59,12,12,3,2,0,6,5,5,2,0,1,0,65,0.203,0.284,0.407,0.691
"121","JEMILE WEEKS",41,10,10,6,0,0,4,9,9,2,0,1,0,51,0.244,0.396,0.537,0.933
"122","JEREMIAS PINEDA",46,13,14,4,0,1,7,11,10,2,8,0,0,57,0.304,0.458,0.565,1.023
"123","JESUS ALBERTO VEGA",17,2,5,2,0,0,1,1,3,1,0,0,0,18,0.294,0.368,0.529,0.897
"124","JESUS ARREDONDO",50,8,16,3,1,2,10,8,16,0,0,2,0,60,0.32,0.4,0.66,1.06
"125","JESUS CAPORAL",3,1,1,0,1,0,1,0,0,0,0,0,0,3,0.333,0.333,1.333,1.666
"126","JESUS CASTILLO",53,11,19,2,0,5,13,12,8,1,0,0,0,65,0.358,0.485,0.811,1.296
"127","JESUS FABELA",47,11,17,2,0,1,11,7,12,3,3,1,1,56,0.362,0.466,0.532,0.998
"128","JESUS LOYA",35,10,11,2,0,0,5,5,6,0,1,1,1,42,0.314,0.39,0.429,0.819
"129","JESUS MONTERO",61,10,20,3,0,1,8,8,14,0,0,1,0,70,0.328,0.4,0.492,0.892
"130","JESUS RIVERA",35,4,10,3,0,0,8,1,1,2,0,1,3,40,0.286,0.333,0.457,0.79
"131","JESUS VALDEZ",47,5,10,1,0,1,5,5,5,0,0,0,0,52,0.213,0.288,0.34,0.628
