"","DATE","AWAY","aR","aH","aE","AW","AL","HOME","hR","hH","hE","HW","HL","ATT","TIME"
"94","2018-04-05","AGU",4,10,1,6,6,"CAM",5,10,0,4,8,2360,190
"95","2018-04-05","MTY",5,8,0,9,3,"TAB",6,10,1,5,7,4819,174
"96","2018-04-05","QUI",3,10,0,8,4,"VAQ",4,7,2,3,9,3010,171
"97","2018-04-06","TIJ",6,10,0,6,7,"MXO",8,14,1,9,4,3500,192
"98","2018-04-06","AGU",6,15,0,7,6,"TAB",4,13,1,5,8,6432,199
"99","2018-04-06","QUI",4,9,1,9,4,"DUR",2,6,1,7,6,1,153
"100","2018-04-06","SLT",3,3,2,4,9,"LEO",9,11,0,5,8,2455,166
"101","2018-04-06","PUE",6,9,1,8,5,"MVA",10,14,1,6,7,8500,206
"102","2018-04-06","MTY",10,13,0,10,3,"CAM",6,13,0,4,9,1972,200
"103","2018-04-06","OAX",1,6,1,5,8,"LAR",4,11,1,7,6,2934,159
"104","2018-04-06","YUC",5,7,1,9,4,"VAQ",2,9,0,3,10,3322,191
"105","2018-04-07","QUI",14,17,2,10,4,"DUR",13,22,1,7,7,1,239
"106","2018-04-07","TIJ",9,12,1,7,7,"MXO",8,16,2,9,5,3550,220
"107","2018-04-07","SLT",3,5,0,4,10,"LEO",7,11,1,6,8,2570,161
"108","2018-04-07","OAX",4,10,0,6,8,"LAR",3,8,1,7,7,3723,189
"109","2018-04-07","YUC",8,16,1,10,4,"VAQ",7,13,0,3,11,3380,195
"110","2018-04-07","AGU",3,8,0,7,7,"TAB",4,9,1,6,8,4198,167
"111","2018-04-07","PUE",13,13,2,9,5,"MVA",9,11,5,6,8,7326,250
"112","2018-04-07","MTY",7,12,0,11,3,"CAM",1,3,2,4,10,1820,156
"113","2018-04-08","QUI",12,20,1,11,4,"DUR",6,10,1,7,8,1,195
"114","2018-04-08","TIJ",1,7,0,7,8,"MXO",3,8,0,10,5,4100,181
"115","2018-04-08","SLT",6,9,0,5,10,"LEO",3,10,1,6,9,2188,172
"116","2018-04-08","OAX",6,11,0,7,8,"LAR",2,9,1,7,8,3723,195
"117","2018-04-08","YUC",8,8,1,11,4,"VAQ",3,9,2,3,12,2604,205
"118","2018-04-08","AGU",2,4,0,8,7,"TAB",0,2,0,6,9,2631,154
"119","2018-04-08","PUE",7,13,1,10,5,"MVA",2,7,0,6,9,8500,166
"120","2018-04-08","MTY",4,10,0,11,4,"CAM",6,12,1,5,10,1940,162
"121","2018-04-10","DUR",4,11,0,7,9,"OAX",6,10,1,8,8,1352,169
"122","2018-04-10","VAQ",2,5,1,3,13,"PUE",11,12,2,11,5,1105,152
"123","2018-04-10","CAM",8,15,0,6,10,"SLT",5,14,3,5,11,2467,202
"124","2018-04-10","MXO",18,20,1,11,5,"AGU",11,12,4,8,8,3142,231
"125","2018-04-10","LEO",10,15,1,7,9,"MTY",2,11,3,11,5,2056,189
"126","2018-04-10","MVA",8,9,1,6,10,"YUC",9,15,1,12,4,6948,231
"127","2018-04-10","LAR",4,7,0,8,8,"QUI",2,4,1,11,5,1203,168
"128","2018-04-10","TAB",2,7,2,6,10,"TIJ",15,17,1,8,8,6821,200
"129","2018-04-11","DUR",12,12,0,7,10,"OAX",18,18,2,9,8,1208,227
"130","2018-04-11","VAQ",4,10,5,3,14,"PUE",8,8,0,12,5,1225,185
"131","2018-04-11","MXO",5,12,1,11,6,"AGU",8,12,0,9,8,2238,188
"132","2018-04-11","LEO",2,7,0,7,10,"MTY",4,10,1,12,5,4057,156
"133","2018-04-11","CAM",5,8,2,6,11,"SLT",6,10,0,6,11,2817,184
"134","2018-04-11","MVA",2,8,0,7,10,"YUC",0,3,0,12,5,8148,154
"135","2018-04-11","LAR",6,10,0,9,8,"QUI",0,5,2,11,6,1737,172
"136","2018-04-11","TAB",3,9,0,7,10,"TIJ",2,4,0,8,9,6318,187
"137","2018-04-11","DUR",12,12,0,7,10,"OAX",18,18,2,9,8,1208,227
"138","2018-04-11","VAQ",4,10,5,3,14,"PUE",8,8,0,12,5,1225,185
"139","2018-04-11","MXO",5,12,1,11,6,"AGU",8,12,0,9,8,2238,188
"140","2018-04-11","LEO",2,7,0,7,10,"MTY",4,10,1,12,5,4057,156
"141","2018-04-11","CAM",5,8,2,6,11,"SLT",6,10,0,6,11,2817,184
"142","2018-04-11","MVA",2,8,0,7,10,"YUC",0,3,0,12,5,8148,154
"143","2018-04-11","LAR",6,10,0,9,8,"QUI",0,5,2,11,6,1737,172
"144","2018-04-11","TAB",3,9,0,7,10,"TIJ",2,4,0,8,9,6318,187
