,Pitcher_Name,H,HR,R,ER,SO,BB,BK,W,L,HLD,SV,IP,ERA,WHIP
125,JORGE RIVERA,5,0,0,0,2,0,0,0,0,1,0,4.2,0.00,1.07
126,JOSE ASCANIO,2,0,1,1,2,1,0,0,0,0,1,2.1,3.86,1.29
127,JOSE BARAJAS,5,0,6,6,2,3,0,0,1,0,0,1.0,54.00,8.00
128,JOSE CARLOS MEDINA,3,0,1,1,2,1,0,0,0,0,0,2.1,3.86,1.71
129,JOSE LOPEZ CRUZ,5,0,1,1,2,0,0,1,0,0,0,2.2,3.38,1.88
130,JOSE MANUEL LOPEZ,6,0,1,1,2,2,0,0,0,2,0,3.1,2.70,2.40
131,JOSE MARRUJO,4,0,2,2,3,2,0,1,0,0,0,5.0,3.60,1.20
132,JOSE MERAZ,2,0,1,1,1,0,0,0,0,1,0,0.2,13.50,3.00
133,JOSE PINA,5,2,3,3,7,3,0,2,0,0,0,10.0,2.70,0.80
134,JOSE SAMAYOA,1,0,0,0,2,1,0,0,0,0,0,6.0,0.00,0.33
135,JOSH JUDY,0,0,0,0,0,0,0,0,0,0,0,1.1,0.00,0.00
136,JOSH LOWEY,8,0,4,4,10,6,0,1,0,0,0,8.1,4.32,1.68
137,JOSH LUEKE,0,0,0,0,1,0,0,0,0,0,2,4.0,0.00,0.00
138,JOVANY LOPEZ,1,0,1,1,1,0,0,0,0,1,0,0.2,13.50,1.50
139,JUAN MACIAS,2,0,0,0,4,1,0,0,0,0,0,3.0,0.00,1.00
140,JUAN OMAR ESPINOZA,0,0,0,0,2,0,0,0,0,0,0,3.0,0.00,0.00
141,JUAN PABLO ORAMAS,7,0,1,1,5,2,0,0,0,0,0,5.0,1.80,1.80
142,JUAN RAMON NORIEGA,2,0,0,0,1,0,0,2,0,0,0,3.0,0.00,0.67
143,JUAN RODRIGUEZ,0,0,0,0,1,2,0,0,0,1,0,3.0,0.00,0.67
144,JUAN SANDOVAL,2,1,2,2,2,0,0,0,0,0,0,2.0,9.00,1.00
145,JULIAN ARBALLO,2,0,0,0,1,0,0,0,0,1,0,0.2,0.00,3.00
146,JULIO FELIX,4,0,4,4,2,0,0,1,0,1,0,5.1,6.75,0.75
147,KELVIN MARTE,6,0,3,3,0,4,0,0,1,0,0,4.1,6.23,2.31
148,KYLE DRABEK,4,1,7,7,1,4,0,0,1,0,0,1.0,63.00,8.00
149,KYLE LOBSTEIN,5,0,0,0,5,1,0,1,0,0,0,5.1,0.00,1.12
150,LEURIS GOMEZ,2,0,1,1,3,1,0,0,0,0,0,4.0,2.25,0.75
151,LINDER CASTRO,5,0,2,2,3,1,0,1,0,1,0,3.0,6.00,2.00
152,LUIS ANGEL DANIEL,2,0,2,2,5,2,0,0,0,0,0,5.0,3.60,0.80
153,LUIS AYALA,4,0,3,3,5,2,0,0,1,0,1,2.2,10.12,2.25
154,LUIS DE LA O,2,0,0,0,2,0,0,0,0,0,0,4.1,0.00,0.46
155,LUIS IVAN RODRIGUEZ,5,0,6,6,3,4,0,1,2,0,0,5.0,10.80,1.80
156,LUIS MENDEZ,6,3,6,6,0,3,0,0,1,0,0,3.2,14.73,2.45
157,LUIS NIEBLA,9,0,5,5,5,6,0,1,1,0,0,9.1,4.82,1.61
158,LUIS PAYAN,6,1,3,2,2,2,0,0,1,0,0,5.0,3.60,1.60
159,LUIS PEREZ,5,1,1,1,5,3,0,1,0,0,0,5.1,1.69,1.50
160,MAIKEL CLETO,2,0,1,1,1,1,0,0,1,0,0,2.0,4.50,1.50
161,MANNY ACOSTA,2,0,0,0,5,0,0,1,0,3,0,4.0,0.00,0.50
162,MANUEL AL FLORES,6,0,3,3,4,0,0,0,0,0,0,5.0,5.40,1.20
163,MANUEL BAEZ,4,0,2,2,2,0,0,0,0,3,0,3.0,6.00,1.33
164,MANUEL VALDEZ,1,0,2,2,4,1,0,0,0,1,0,2.2,6.75,0.75
165,MARCO ANTONIO DUARTE,8,2,6,6,2,2,0,0,0,0,0,3.2,14.73,2.73
166,MARCO CAMARENA,0,0,0,0,0,0,0,0,0,0,0,1.2,0.00,0.00
167,MARCO CARRILLO,5,0,3,2,6,0,0,0,0,0,0,5.1,3.38,0.94
168,MARCO MENDIVIL,2,0,1,1,0,0,0,0,0,0,0,1.1,6.75,1.50
169,MARCO QUEVEDO,5,1,2,2,2,2,0,0,0,0,0,3.2,4.91,1.91
170,MARCO RAMIREZ,2,0,1,1,3,2,0,1,0,0,0,3.2,2.45,1.09
171,MARCO TOVAR,3,1,1,1,3,4,0,1,0,0,0,5.0,1.80,1.40
172,MARCOS MACHADO,2,1,1,1,0,0,0,0,0,0,0,0.1,27.00,6.00
173,MARCOS RIVAS,2,0,0,0,0,1,0,0,0,0,0,2.1,0.00,1.29
174,MARIO GONZALEZ,9,1,4,3,1,1,0,0,0,0,0,6.0,4.50,1.67
