,Pitcher_Name,SO,BB,IP,ERA,WHIP,BB/9,K/9
189,ORLANDO LARA,2,0,3.0,9.00,2.00,0.00,6.00
190,OSCAR FELIX,1,0,0.2,0.00,0.00,0.00,13.50
191,OSCAR HURTADO,2,4,3.2,4.91,2.45,9.82,4.91
192,OSCAR VERDUGO,5,2,4.1,2.08,1.38,4.15,10.38
193,OZZIE MENDEZ,2,2,3.0,6.00,2.00,6.00,6.00
194,PATRICK JOHNSON,1,2,5.0,3.60,1.60,3.60,1.80
195,PATRICK MCCOY,3,0,4.0,0.00,0.50,0.00,6.75
196,PAUL CLEMENS,5,3,8.0,2.25,1.00,3.38,5.62
197,PAUL PAEZ,1,2,0.2,67.50,7.50,27.00,13.50
198,PEDRO RODRIGUEZ,1,0,3.0,0.00,0.67,0.00,3.00
199,PEDRO VILLARREAL,1,0,3.2,4.91,0.55,0.00,2.45
200,PHIL COKE,3,1,4.0,9.00,1.25,2.25,6.75
201,RAFAEL DIAZ,4,1,4.1,2.08,0.69,2.08,8.31
202,RAFAEL MARTIN,4,0,2.0,4.50,0.50,0.00,18.00
203,RAFAEL PINEDA,2,0,3.2,7.36,1.64,0.00,4.91
204,RAUL BARRON,0,1,1.0,18.00,4.00,9.00,0.00
205,RAUL CARRILLO,4,1,5.0,7.20,1.60,1.80,7.20
206,REFUGIO MARIN,0,2,0.2,0.00,3.00,27.00,0.00
207,REINIER ROIBAL,4,1,5.0,3.60,1.20,1.80,7.20
208,RENE COSS,0,1,0.1,54.00,6.00,27.00,0.00
209,RICARDO JACQUEZ,0,1,1.0,0.00,2.00,9.00,0.00
210,RICARDO RIVERO,1,0,0.1,27.00,6.00,0.00,27.00
211,ROBERT GARCIA,3,1,4.1,6.23,1.38,2.08,6.23
212,ROBERTO ESPINOSA,3,1,3.0,0.00,0.67,3.00,9.00
213,ROBINSON LOPEZ,2,6,7.2,9.39,2.09,7.04,2.35
214,RODOLFO AGUILAR,3,0,1.2,5.40,1.80,0.00,16.20
215,RODOLFO AGUIRRE,1,0,2.1,11.57,2.14,0.00,3.86
216,RODRIGO VALENZUELA,3,0,1.2,16.20,3.60,0.00,16.20
217,ROGELIO BERNAL,4,3,4.1,2.08,1.85,6.23,8.31
218,ROGELIO MARTINEZ,1,2,2.2,0.00,1.12,6.75,3.38
219,ROLANDO VALDEZ,4,0,8.0,5.62,1.50,0.00,4.50
220,ROMAN PENA,1,0,4.1,0.00,0.92,0.00,2.08
221,ROMARIO GIL,4,2,4.1,2.08,1.15,4.15,8.31
222,RONALD BELISARIO,1,1,4.1,0.00,0.92,2.08,2.08
223,ROY MERRITT,3,2,4.0,4.50,2.00,4.50,6.75
224,RUBEN VICENTE,1,0,3.0,0.00,0.00,0.00,3.00
225,RUDDY ACOSTA,6,4,9.0,6.00,1.33,4.00,6.00
226,RYAN PEREZ,3,4,4.0,6.75,2.25,9.00,6.75
227,SALVADOR VALDEZ,3,2,5.2,1.59,1.06,3.18,4.76
228,SAMUEL ZAZUETA,1,2,0.2,54.00,4.50,27.00,13.50
229,SANTIAGO GUTIERREZ,1,1,1.1,6.75,2.25,6.75,6.75
230,SASAGI SANCHEZ,2,1,5.0,1.80,1.00,1.80,3.60
231,SERGIO ALVARADO,2,2,2.0,0.00,1.00,9.00,9.00
232,SERGIO MITRE,1,0,1.0,0.00,1.00,0.00,9.00
233,SERGIO SIERRA,2,4,2.0,9.00,4.00,18.00,9.00
234,TERANCE MARIN,5,0,6.0,3.00,0.83,0.00,7.50
235,THOMAS MELGAREJO,0,1,1.1,6.75,2.25,6.75,0.00
236,TIAGO DA SILVA,6,1,5.2,1.59,1.06,1.59,9.53
237,TOMAS SOLIS,3,0,4.0,2.25,0.75,0.00,6.75
238,TONY CORDOVA,1,1,0.2,0.00,7.50,13.50,13.50
239,TONY GUERRA,1,2,2.2,0.00,1.50,6.75,3.38
240,TYLER KANE,0,1,5.0,3.60,1.40,1.80,0.00
241,ULISES JOAQUIN,0,2,3.1,16.20,3.60,5.40,0.00
242,VICTOR ESPINOSA,5,3,6.0,4.50,1.33,4.50,7.50
243,WES TORREZ,3,2,2.2,3.38,2.62,6.75,10.12
244,WILMER RIOS,2,0,3.0,0.00,1.00,0.00,6.00
245,WIRFIN OBISPO,8,1,4.0,4.50,1.50,2.25,18.00
246,YOANNER NEGRIN,1,2,5.0,7.20,2.20,3.60,1.80
247,YOHAN FLANDE,3,1,4.2,7.71,1.71,1.93,5.79
248,YOSSHEL HURTADO,0,2,2.0,4.50,2.00,9.00,0.00
249,ZACH PHILLIPS,3,1,4.0,0.00,1.00,2.25,6.75
