"","Season","Name","Team","GP","GS","A","PO","E","F%","DP","TP","CS","SB","SB%","PB","pickoffs","team_id","team_code","team_abbreviation","franchise_name","club_name","venue_id","venue_name","capacity","league_id","division_id","sport_id"
"60","2024","Rigoberto Borbolla","TIG",23,0,0,1,0,"1.000",1,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"61","2024","Ernesto Borges","CAM",18,0,3,4,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"62","2024","Manuel Boscan","DUR",3,3,3,30,0,"1.000",4,0,NA,NA,NA,NA,NA,4444,"dur","DUR","Durango","Caliente",5321,"Estadio Francisco Villa",4983,125,223,23
"63","2024","Wilfredo Boscan","QRO",15,12,6,2,0,"1.000",0,0,NA,NA,NA,NA,NA,6303,"qro","QRO","Queretaro","Conspiradores",6070,"Estadio Conspiradores",6800,125,222,23
"64","2024","Michael Boyle","YUC",22,0,4,1,0,"1.000",0,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"65","2024","Silvino Bracho","TIJ",44,0,2,1,0,"1.000",0,0,NA,NA,NA,NA,NA,5010,"tij","TIJ","Tijuana","Toros",2957,"Estadio Chevron",17000,125,222,23
"66","2024","Bobby Bradley","TIJ",4,3,0,1,0,"1.000",0,0,NA,NA,NA,NA,NA,5010,"tij","TIJ","Tijuana","Toros",2957,"Estadio Chevron",17000,125,222,23
"67","2024","Edgar Bravo","CAM",1,0,0,2,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"68","2024","Edgar Bravo","CAM",6,3,0,7,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"69","2024","Edgar Bravo","CAM",15,11,0,36,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"70","2024","Jose Bravo","MEX",11,11,7,7,0,"1.000",0,0,NA,NA,NA,NA,NA,532,"mxo","MEX","Mexico","Diablos Rojos",5340,"Estadio Alfredo Harp Helu",20062,125,223,23
"71","2024","Liarvis Breto","CHI",39,0,4,0,0,"1.000",0,0,NA,NA,NA,NA,NA,575,"chi","CHI","Chihuahua","Dorados",3210,"Estadio Chihuahua",15500,125,222,23
"72","2024","Lewis Brinson","TAB",6,2,0,7,0,"1.000",0,0,NA,NA,NA,NA,NA,442,"tab","TAB","Tabasco","Olmecas",2955,"Parque Centenario 27 de Febrero",6600,125,222,23
"73","2024","Lewis Brinson","AGS",1,1,0,4,0,"1.000",0,0,NA,NA,NA,NA,NA,528,"agu","AGS","Aguascalientes","Rieleros",2929,"Estadio Alberto Romo Chavez",6496,125,223,23
"74","2024","Lewis Brinson","AGS",4,4,0,8,0,"1.000",0,0,NA,NA,NA,NA,NA,528,"agu","AGS","Aguascalientes","Rieleros",2929,"Estadio Alberto Romo Chavez",6496,125,223,23
"75","2024","Geoff Broussard","LAR",45,0,5,4,0,"1.000",0,0,NA,NA,NA,NA,NA,536,"lar","LAR","Dos Laredos","Tecos",3410,"Parque la Junta",5000,125,223,23
"76","2024","Victor Buelna","VER",14,0,1,2,0,"1.000",0,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"77","2024","Enrique Burgos","OAX",9,0,0,2,0,"1.000",0,0,NA,NA,NA,NA,NA,579,"oax","OAX","Oaxaca","Guerreros",2951,"Parque Lic. Eduardo Vasconcelos",7200,125,223,23
"78","2024","Samuel Burgos","MVA",3,0,1,0,0,"1.000",0,0,NA,NA,NA,NA,NA,560,"mva","MVA","Monclova","Acereros",2950,"Estadio Kickapoo Lucky Eagle",8500,125,222,23
"79","2024","Fernando Burgueno","TIG",16,0,1,1,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"80","2024","Sergio Burruel","CHI",34,33,10,221,0,"1.000",2,0,9,15,".625",2,0,575,"chi","CHI","Chihuahua","Dorados",3210,"Estadio Chihuahua",15500,125,222,23
"81","2024","Carlos Bustamante","MVA",25,0,2,0,0,"1.000",0,0,NA,NA,NA,NA,NA,560,"mva","MVA","Monclova","Acereros",2950,"Estadio Kickapoo Lucky Eagle",8500,125,222,23
"82","2024","Omar Bustamante","MVA",2,1,0,4,0,"1.000",0,0,0,3,"1.000",0,0,560,"mva","MVA","Monclova","Acereros",2950,"Estadio Kickapoo Lucky Eagle",8500,125,222,23
"83","2024","Leobaldo Cabrera","AGS",9,7,0,21,0,"1.000",0,0,NA,NA,NA,NA,NA,528,"agu","AGS","Aguascalientes","Rieleros",2929,"Estadio Alberto Romo Chavez",6496,125,223,23
"84","2024","Leobaldo Cabrera","AGS",2,2,0,5,0,"1.000",0,0,NA,NA,NA,NA,NA,528,"agu","AGS","Aguascalientes","Rieleros",2929,"Estadio Alberto Romo Chavez",6496,125,223,23
"85","2024","Ramón Cabrera","YUC",3,3,5,22,0,"1.000",1,0,1,0,".000",0,0,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"86","2024","Angel Camacho","YUC",2,0,0,3,0,"1.000",1,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"87","2024","Angel Camacho","YUC",5,3,9,4,0,"1.000",2,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"88","2024","Angel Camacho","YUC",7,4,14,6,0,"1.000",0,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"89","2024","Angel Camacho","YUC",12,0,0,3,0,"1.000",0,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"90","2024","Angel Camacho","YUC",8,1,0,2,0,"1.000",0,0,NA,NA,NA,NA,NA,496,"yuc","YUC","Yucatan","Leones",6081,"Estadio de Beisbol VIctor Cervera Pacheco",5104,125,223,23
"91","2024","Jose Camacho","LEO",2,0,1,4,0,"1.000",0,0,NA,NA,NA,NA,NA,434,"leo","LEO","Leon","Bravos",5320,"Parque Domingo Santana",6500,125,223,23
"92","2024","Juan Camacho","JAL",6,5,2,39,0,"1.000",1,0,1,5,".833",0,0,6304,"jal","JAL","Jalisco","Charros",4710,"Estadio Panamericano",16500,125,222,23
"93","2024","A.J. Candelario","QRO",35,0,0,2,0,"1.000",2,0,NA,NA,NA,NA,NA,6303,"qro","QRO","Queretaro","Conspiradores",6070,"Estadio Conspiradores",6800,125,222,23
"94","2024","Malquin Canelo","VER",3,2,8,4,0,"1.000",1,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"95","2024","Malquin Canelo","VER",4,1,4,0,0,"1.000",1,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"96","2024","Malquin Canelo","VER",3,0,1,1,0,"1.000",0,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"97","2024","Roberto Caro","TIG",18,17,4,33,0,"1.000",1,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"98","2024","Roberto Caro","TIG",4,4,1,4,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"99","2024","Roberto Caro","TIG",11,10,0,16,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"100","2024","Alberto Carreon","VER",8,6,16,13,0,"1.000",4,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"101","2024","Alberto Carreon","VER",2,0,1,2,0,"1.000",0,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"102","2024","Raul Carrillo","TIG",16,14,4,2,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"103","2024","Erick Casillas","VER",43,0,5,5,0,"1.000",2,0,NA,NA,NA,NA,NA,5567,"ver","VER","Veracruz","El Aguila",2958,"Estadio Universitario Beto Avila",7319,125,222,23
"104","2024","Antonio Castaneda","OAX",6,0,0,4,0,"1.000",0,0,NA,NA,NA,NA,NA,579,"oax","OAX","Oaxaca","Guerreros",2951,"Parque Lic. Eduardo Vasconcelos",7200,125,223,23
"105","2024","Gerardo Castaneda","PUE",3,0,0,4,0,"1.000",0,0,0,0,".---",0,0,520,"pue","PUE","Puebla","Pericos",2869,"Estadio Hermanos Serdan",9200,125,222,23
"106","2024","Ryan Castellani","LAG",7,7,5,1,0,"1.000",0,0,NA,NA,NA,NA,NA,447,"vaq","LAG","Laguna","Algodoneros",2956,"Estadio de la Revolucion",7689,125,223,23
"107","2024","Pedro Castellano","OAX",2,0,1,1,0,"1.000",0,0,NA,NA,NA,NA,NA,579,"oax","OAX","Oaxaca","Guerreros",2951,"Parque Lic. Eduardo Vasconcelos",7200,125,223,23
"108","2024","Pedro Castellano","OAX",5,0,4,2,0,"1.000",1,0,NA,NA,NA,NA,NA,579,"oax","OAX","Oaxaca","Guerreros",2951,"Parque Lic. Eduardo Vasconcelos",7200,125,223,23
"109","2024","Enrique Castillo","MTY",14,0,1,1,0,"1.000",0,0,NA,NA,NA,NA,NA,562,"mty","MTY","Monterrey","Sultanes",2701,"Estadio Mobil Super",21803,125,223,23
"110","2024","Johan Castillo","TIG",5,5,3,3,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
