"","Year","Name","Team","POS","GP","AB","PA","LOB","SH","SF","GO","AO","GO/AO","BABIP","AB/HR","K%","BB%","BB/K","wOBA","wRAA","wRC","wRC+"
"133","2019","Antonio Ruiz","TAB","RF",24,50,51,17,0,0,0,10,"0.00",".385","-.--",21.6,2,9.1,0.305,2.4,10,132
"134","2019","Johnny Davis","OAX","RF",106,424,477,152,10,5,2,100,"0.02",".373","106.00",19.9,6.9,34.7,0.347,39.4,113,92
"135","2019","Christian Zazueta","SLT","3B",64,258,275,110,2,0,0,73,"0.00",".315","36.86",10.5,4.4,41.4,0.353,24.1,66,97
"136","2019","Yefri Pérez","PUE","CF",12,47,57,14,1,1,0,10,"0.00",".406","47.00",26.3,14,53.3,0.396,7.1,16,92
"137","2019","Daniel Sanchez","PUE","C",68,175,204,86,2,1,0,38,"0.00",".326","29.17",14.2,9.3,65.5,0.389,24.1,56,91
"138","2019","Oscar Lemus","PUE","C",49,88,95,28,0,1,0,23,"0.00",".348","44.00",18.9,4.2,22.2,0.345,7.7,22,92
"139","2019","Domonic Brown","LAR","RF",88,349,396,147,0,5,2,99,"0.02",".294","13.96",16.2,10.1,62.5,0.41,53.8,115,110
"140","2019","Carlos Alvarez","LEO","2B",39,61,77,27,1,1,0,16,"0.00",".375","-.--",18.2,16.9,92.9,0.378,8.4,20,88
"141","2019","Fernando Perez","CAM","1B",96,343,380,136,0,6,0,76,"0.00",".331","16.33",22.6,6.6,29.1,0.39,45.2,104,108
"142","2019","Agustin Murillo","MTY","3B",108,394,455,188,3,9,0,120,"0.00",".307","30.31",12.1,8.8,72.7,0.371,46.8,117,96
"143","2019","Yamaico Navarro","MTY","DH",109,398,484,206,0,5,0,114,"0.00",".296","13.27",16.3,16.5,101.3,0.437,76.8,151,97
"144","2019","Orlando Pina","OAX","3B",90,330,367,156,0,1,0,52,"0.00",".379","20.62",27.5,8.4,30.7,0.388,43,100,93
"145","2019","Chris Carter","MVA","1B",120,416,546,226,0,7,0,88,"0.00",".335","8.49",28.6,21.1,73.7,0.498,114.8,199,103
"146","2019","Sho Aranami","MTY","CF",47,174,207,68,3,3,0,38,"0.00",".352","-.--",15.5,11.6,75,0.354,18.3,50,97
"147","2019","Marco Guzman","LEO","2B",67,199,225,84,5,2,1,46,"0.02",".387","39.80",26.2,8.4,32.2,0.362,21.4,56,86
"148","2019","Alberto Carreon","PUE","SS",108,440,498,195,5,6,3,109,"0.03",".332","73.33",14.5,5.2,36.1,0.349,42,119,91
"149","2019","Humberto Sosa","YUC","C",61,148,172,65,4,1,1,39,"0.03",".327","14.80",22.1,9.3,42.1,0.411,23.5,50,113
