"","total_splits","season","num_teams","rank","games_played","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","ground_into_double_play","number_of_pitches","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","babip","ground_outs_to_airouts","catchers_interference","at_bats_per_home_run","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"25",450,"2024",1,25,14,9,8,10,6,0,0,12,3,0,16,0,".356",45,".396",".489",".885",0,0,".---",0,168,48,22,7,17,0,0,".485","1.13",0,"-.--",562,"Sultanes de Monterrey","/api/v1/teams/562",692473,"Christopher Escarrega","/api/v1/people/692473","Christopher","Escarrega",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
"26",450,"2024",2,26,79,72,62,54,15,3,11,47,27,0,97,9,".354",274,".426",".551",".977",5,3,".375",8,1209,314,151,46,112,2,2,".394","1.16",0,"24.91",502,"Saraperos de Saltillo","/api/v1/teams/502",685694,"Keven Lamas","/api/v1/people/685694","Keven","Lamas",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","6","Shortstop","Infielder","SS","ALL","season","hitting"
"27",450,"2024",1,27,53,33,32,27,11,2,2,36,10,0,53,1,".353",150,".390",".493",".883",1,2,".667",7,607,165,74,29,65,1,3,".443","1.03",0,"75.00",528,"Rieleros de Aguascalientes","/api/v1/teams/528",674496,"Daniel Cornejo","/api/v1/people/674496","Daniel","Cornejo",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
"28",450,"2024",1,28,19,20,17,5,5,0,1,9,3,1,25,0,".352",71,".378",".465",".843",0,0,".---",2,228,74,33,16,32,0,0,".393","1.18",0,"71.00",502,"Saraperos de Saltillo","/api/v1/teams/502",593772,"Yeison Asencio","/api/v1/people/593772","Yeison","Asencio",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","7","Outfielder","Outfielder","LF","ALL","season","hitting"
"29",450,"2024",1,29,18,17,23,14,8,1,3,8,1,0,26,0,".351",74,".360",".608",".968",1,1,".500",3,224,75,45,19,42,0,0,".365","0.74",0,"24.67",6303,"Conspiradores de Queretaro","/api/v1/teams/6303",628329,"Rusney Castillo","/api/v1/people/628329","Rusney","Castillo",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
"30",450,"2024",3,30,85,90,85,69,22,3,4,45,42,1,117,6,".350",334,".430",".470",".900",5,4,".444",5,1420,385,157,47,143,1,2,".394","1.06",0,"83.50",4444,"Caliente de Durango","/api/v1/teams/4444",607752,"Sam Travis","/api/v1/people/607752","Sam","Travis",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"31",450,"2024",1,31,12,11,10,7,3,0,1,6,5,0,14,1,".350",40,".426",".500",".926",0,0,".---",2,191,47,20,4,17,0,1,".382","1.10",0,"40.00",496,"Leones de Yucatan","/api/v1/teams/496",500874,"José A. Martínez","/api/v1/people/500874","José A.","Martínez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","7","Outfielder","Outfielder","LF","ALL","season","hitting"
"32",450,"2024",2,32,39,28,26,20,11,1,3,32,8,0,44,7,".349",126,".415",".524",".939",5,7,".583",3,535,145,66,20,61,3,1,".446","1.08",0,"42.00",5567,"El Aguila de Veracruz","/api/v1/teams/5567",622738,"Tito Polo","/api/v1/people/622738","Tito","Polo",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","7","Outfielder","Outfielder","LF","ALL","season","hitting"
"33",450,"2024",1,33,70,67,63,42,16,2,4,28,42,2,84,3,".349",241,".451",".481",".932",1,1,".500",7,1165,288,116,41,107,1,0,".383","1.06",1,"60.25",6303,"Conspiradores de Queretaro","/api/v1/teams/6303",626843,"Yosmany Guerra","/api/v1/people/626843","Yosmany","Guerra",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
"34",450,"2024",1,34,44,31,28,12,8,0,1,24,17,0,42,4,".347",121,".438",".438",".876",0,0,".---",5,576,147,53,22,48,2,2,".418","1.11",1,"121.00",502,"Saraperos de Saltillo","/api/v1/teams/502",518542,"Juan Centeno","/api/v1/people/518542","Juan","Centeno",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
