"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"122","DANIEL DUARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"123","DANIEL FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"124","DANIEL GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"125","DANIEL HINOJOSA",25,1,3,0,0,0,0,0,10,0,0,0,2
"126","DANIEL JIMENEZ",14,4,7,1,0,0,4,0,0,0,0,1,0
"127","DANIEL MAYORA",56,8,18,3,0,3,7,6,8,1,0,0,1
"128","DANIEL MERCADO",8,0,0,0,0,0,0,0,2,0,0,0,0
"129","DANIEL NUNEZ",58,10,19,8,1,0,7,7,12,2,2,1,2
"130","DANIEL SANCHEZ",38,2,6,1,0,0,3,3,3,0,0,2,0
"131","DARIC BARTON",33,16,12,3,1,5,10,14,5,5,0,0,0
"132","DAVID GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"133","DAVID REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"134","DAVID RICHARDSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"135","DAVID VIDAL",60,14,18,4,1,2,11,6,19,4,0,0,0
"136","DELMON YOUNG",60,7,16,2,0,2,8,2,12,3,0,1,0
"137","DEMETRIO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"138","DERRICK LOOP",0,0,0,0,0,0,0,0,0,0,0,0,0
"139","DIEGO MADERO",54,5,13,4,0,0,2,4,12,1,0,1,1
"140","DOMINGO CASTRO",4,1,1,0,0,0,1,0,0,0,0,0,1
"141","DOMONIC BROWN",49,10,17,2,0,6,16,10,11,1,0,0,0
"142","DUSTIN CRENSHAW",0,0,0,0,0,0,0,0,0,0,0,0,0
"143","DUSTIN GEIGER",58,11,28,9,0,3,18,5,12,3,0,2,0
"144","DUSTIN MARTIN",53,10,12,1,0,2,13,12,15,1,2,1,0
"145","EDER LLAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"146","EDGAR GOMEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"147","EDGAR GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"148","EDGAR TORRES",0,0,0,0,0,0,0,0,0,0,0,0,0
"149","EDSON GARCIA",63,9,16,1,0,2,11,6,7,1,2,1,1
"150","EDUARD SANTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"151","EDUARDO ARREDONDO",39,8,11,1,0,0,2,6,6,1,0,0,1
"152","EDWIN QUIRARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"153","EDWIN SALAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"154","EGER ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"155","EL'HAJJ MUHAMMAD",0,0,0,0,0,0,0,0,0,0,0,0,0
"156","ELIEZER ORTIZ",21,5,9,0,0,2,7,0,4,0,2,0,0
"157","ELISEO ALDAZABA",22,5,9,1,0,0,2,5,5,0,0,0,0
"158","ELMER REYES",58,9,19,3,1,1,11,2,10,4,0,1,0
"159","EMMANUEL AVILA",58,10,23,3,0,1,9,3,9,1,0,0,1
"160","ENRIQUE OSORIO",55,2,17,2,0,0,5,5,6,0,2,0,1
"161","ERIC AGUILERA",54,8,19,4,0,2,5,8,15,0,0,1,0
"162","ERIC MEZA",22,2,8,3,0,0,3,2,7,1,0,1,0
"163","ERICK RODRIGUEZ",5,0,1,0,0,0,0,0,0,0,0,0,0
"164","ERNESTO FRIERI",0,0,0,0,0,0,0,0,0,0,0,0,0
"165","ESTEBAN HARO",0,0,0,0,0,0,0,0,0,0,0,0,0
"166","EUMIR SEPULVEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"167","EVERTH CABRERA",55,4,12,4,1,0,6,5,16,0,5,0,4
"168","FABIAN COTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"169","FABIAN WILLIAMSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"170","FEDERICO CASTANEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"171","FELIPE ARREDONDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"172","FELIPE GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"173","FELIX PEREZ",56,9,12,2,0,1,6,6,13,1,0,1,0
"174","FELIX PIE",46,6,12,5,0,2,5,8,5,0,1,1,0
"175","FERNANDO FLORES",38,2,4,1,0,1,3,2,8,0,0,0,0
"176","FERNANDO GALLEGOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"177","FERNANDO VILLALOBOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"178","FRANCISCO CAMPOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"179","FRANCISCO CORDOBA",53,8,13,4,0,1,5,3,14,2,0,1,0
"180","FRANCISCO DEL ROSARIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"181","FRANCISCO GIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"182","FRANCISCO HARO",0,0,0,0,0,0,0,0,0,0,0,0,0
"183","FRANCISCO LUGO",12,1,3,0,0,0,2,0,1,0,1,1,0
"184","FRANCISCO MORENO",0,0,0,0,0,0,0,0,0,0,0,0,0
"185","FRANCISCO RIVERA",27,3,7,0,1,1,4,2,2,1,0,0,0
"186","FRANCISCO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"187","FRANK DIAZ",47,7,19,2,0,4,13,8,5,1,0,1,0
"188","FRANKIE DE LA CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"189","FREDDY GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"190","FREDY QUINTERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"191","GABE AGUILAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"192","GABINO AVALOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"193","GABRIEL GUTIERREZ",14,3,3,0,0,0,1,3,2,0,0,0,0
"194","GENARO ANDRADE",9,0,3,0,0,0,0,1,1,0,0,0,0
"195","GERARDO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"196","GERARDO SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"197","GILBERTO GALAVIZ",40,7,8,4,0,0,5,3,1,1,1,0,0
"198","GONZALO OCHOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"199","GONZALO SANUDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"200","GUILLERMO TRUJILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"201","HANS WILSON",13,0,2,0,0,0,0,2,0,0,0,0,0
"202","HASSAN PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"203","HECTOR AMBRIZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"204","HECTOR GALVAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"205","HECTOR GOMEZ",71,22,24,11,0,2,11,2,19,0,1,0,0
"206","HECTOR HERNANDEZ",5,0,1,0,0,0,0,0,1,0,0,0,0
"207","HENDERSON ALVAREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"208","HENRY ALEJANDRO RODRIGUEZ",58,6,21,3,0,1,10,6,9,0,0,0,0
"209","HENRY OMANA",0,0,0,0,0,0,0,0,0,0,0,0,0
"210","HENRY URRUTIA",55,13,20,4,0,2,10,9,11,0,3,0,0
"211","HERIBERTO RUELAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","HUGO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"213","HUMBERTO CASTRO",47,7,13,0,0,0,6,8,6,3,2,1,1
"214","HUMBERTO MONTIEL",0,0,0,0,0,0,0,0,0,0,0,0,0
"215","HUMBERTO SOSA",27,5,10,2,0,0,5,5,6,0,0,0,0
"216","IRWIN DELGADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"217","ISAAC JIMENEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"218","ISAAC RODRIGUEZ SALAZAR",63,15,27,6,0,1,7,5,4,0,8,0,0
"219","ISIDRO PINA",42,5,18,1,0,0,9,3,2,0,0,1,2
"220","ISMAEL CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"221","ISSMAEL SALAS",42,4,12,3,0,1,7,2,5,0,1,3,2
"222","IVAN ARAUJO",12,2,2,0,0,1,4,1,1,1,1,1,0
"223","IVAN BELLAZETIN",16,2,3,0,0,0,2,2,2,0,1,0,0
"224","IVAN JIMENEZ",39,2,7,0,0,0,0,3,18,1,1,0,4
"225","IVAN SALAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"226","IVAN TERRAZAS",29,5,8,2,0,0,4,6,5,1,1,1,1
"227","IVAN ZAVALA",0,0,0,0,0,0,0,0,0,0,0,0,0
"228","J.P. RAMIREZ",19,2,4,0,0,1,3,1,5,0,0,0,0
"229","JAIME BRENA",5,3,2,0,0,0,1,2,0,0,1,0,0
"230","JAIME LUGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"231","JAIME SANTOS",6,6,0,0,0,0,0,4,2,0,0,0,0
"232","JAMAR WALTON",61,8,16,4,1,1,8,4,9,1,1,0,0
"233","JASON BOURGEOIS",50,6,18,3,0,1,10,7,4,0,3,0,0
"234","JASON URQUIDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"235","JAVIER MIRELES",27,6,11,1,0,2,5,1,5,0,3,2,1
"236","JAVIER REYNOSO",0,0,0,0,0,0,0,0,0,0,0,0,0
"237","JAVIER SALAZAR",59,12,12,3,2,0,6,5,5,2,0,1,0
"238","JAVIER SOLANO",0,0,0,0,0,0,0,0,0,0,0,0,0
"239","JEAN MACHI",0,0,0,0,0,0,0,0,0,0,0,0,0
"240","JEFF IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"241","JEMILE WEEKS",41,10,10,6,0,0,4,9,9,2,0,1,0
"242","JEREMIAS PINEDA",46,13,14,4,0,1,7,11,10,2,8,0,0
"243","JESSE ESTRADA",0,0,0,0,0,0,0,0,0,0,0,0,0
"244","JESUS ADRIAN CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"245","JESUS ALBERTO VEGA",17,2,5,2,0,0,1,1,3,1,0,0,0
"246","JESUS ALCANTAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"247","JESUS ANGUAMEA",0,0,0,0,0,0,0,0,0,0,0,0,0
"248","JESUS ARREDONDO",50,8,16,3,1,2,10,8,16,0,0,2,0
"249","JESUS BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"250","JESUS CAPORAL",3,1,1,0,1,0,1,0,0,0,0,0,0
"251","JESUS CASTILLO",53,11,19,2,0,5,13,12,8,1,0,0,0
"252","JESUS FABELA",47,11,17,2,0,1,11,7,12,3,3,1,1
"253","JESUS GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"254","JESUS LOYA",35,10,11,2,0,0,5,5,6,0,1,1,1
"255","JESUS MONTERO",61,10,20,3,0,1,8,8,14,0,0,1,0
"256","JESUS PIRELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"257","JESUS RIVERA",35,4,10,3,0,0,8,1,1,2,0,1,3
"258","JESUS VALDEZ",47,5,10,1,0,1,5,5,5,0,0,0,0
"259","JIBRAN CASTRO",15,2,3,0,0,0,3,0,3,0,0,0,0
