"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"110","2024","Johan Castillo","TIG","P",5,5,"22.1",3,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"111","2024","Luis Castillo","CAM","P",25,1,"30.1",9,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"112","2024","Moisés Castillo","AGS","2B",1,1,"7.0",2,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"113","2024","Moisés Castillo","AGS","3B",1,1,"6.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"114","2024","Rusney Castillo","QRO","LF",3,3,"26.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"115","2024","Rusney Castillo","QRO","CF",1,1,"9.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"116","2024","Yamil Castillo","CHI","P",10,0,"10.2",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"117","2024","Anthony Castro","CAM","P",14,0,"12.1",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"118","2024","Daniel Castro","MTY","SS",3,3,"27.0",6,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"119","2024","Harold Castro","TIJ","LF",23,19,"170.2",1,39,0,"1.000",0,0,NA,NA,NA,NA,NA
"120","2024","Harold Castro","TIJ","RF",12,11,"91.1",0,12,0,"1.000",0,0,NA,NA,NA,NA,NA
"121","2024","Linder Castro","QRO","P",21,4,"48.1",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"122","2024","Jorgan Cavanerio","QRO","P",9,0,"8.1",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"123","2024","Braulio Cavero","MVA","CF",2,0,"2.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"124","2024","Henry Centeno","CHI","P",14,13,"53.2",7,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"125","2024","Jhoulys Chacín","SLT","P",16,15,"77.1",14,6,0,"1.000",1,0,NA,NA,NA,NA,NA
"126","2024","Angel Chavarin","CAM","C",16,8,"75.0",4,55,0,"1.000",1,0,5,13,0.277777777777778,1,0
"127","2024","Angel Chavarin","CAM","1B",2,0,"2.1",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"128","2024","Jose Guadalupe Chavez","JAL","1B",1,0,"3.0",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"129","2024","Yaya Chentouf","AGS","P",14,0,"11.2",2,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"130","2024","Freddvil Chevez","DUR","1B",3,3,"25.0",1,22,0,"1.000",2,0,NA,NA,NA,NA,NA
"131","2024","Freddvil Chevez","DUR","LF",4,1,"23.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"132","2024","Marcus Chiu","TIG","LF",1,1,"8.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"133","2024","Alex Claudio","MEX","P",32,0,"27.2",4,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"134","2024","Rogelio Cobos","PUE","LF",3,0,"5.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"135","2024","Rogelio Cobos","PUE","RF",9,0,"15.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"136","2024","Yeison Coca","YUC","2B",2,0,"9.0",3,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"137","2024","Yeison Coca","YUC","LF",9,3,"40.2",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"138","2024","Yeison Coca","YUC","CF",2,0,"2.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"139","2024","Carlos Contreras","AGS","P",7,0,"5.2",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
