"","Year","Name","Team","POS","GP","GS","INN","TC","RF/G","RF/9","TE","CERA","CI"
"140","2019","Aldo Flores","AGS","2B",3,0,"3.0",1,"0.33","3.00",0,NA,NA
"141","2019","Aldo Flores","AGS","SS",5,0,"7.0",3,"0.60","3.86",0,NA,NA
"142","2019","Alejandro Flores","YUC","C",5,1,"20.0",20,"4.00","9.00",0,"0.45",0
"143","2019","Daniel Flores","MVA","P",19,1,"22.0",4,"0.21","1.64",0,NA,NA
"144","2019","Kevin Flores","MVA","2B",8,3,"37.2",19,"2.38","4.62",0,NA,NA
"145","2019","Luis Flores","LAR","2B",1,1,"9.0",2,"2.00","2.00",0,NA,NA
"146","2019","Manuel Flores","CAM","P",22,22,"121.2",16,"0.73","1.19",0,NA,NA
"147","2019","Oziel Flores","MEX","SS",6,2,"30.0",13,"2.17","3.90",0,NA,NA
"148","2019","Oziel Flores","MEX","LF",10,0,"20.0",4,"0.40","1.80",0,NA,NA
"149","2019","Oziel Flores","OAX","CF",2,0,"4.0",2,"1.00","4.50",0,NA,NA
"150","2019","Luis Fonseca","DUR","LF",4,4,"30.0",5,"1.25","1.50",0,NA,NA
"151","2019","Luis Fonseca","DUR","RF",4,2,"18.0",3,"0.75","1.50",0,NA,NA
"152","2019","Iker Franco","OAX","1B",2,0,"6.0",6,"3.00","9.00",0,NA,NA
"153","2019","Jose Frutos","LAG","P",18,0,"23.2",2,"0.11","0.78",0,NA,NA
"154","2019","Carlos Frías","TIG","P",12,6,"30.2",9,"0.75","2.70",0,NA,NA
"155","2019","Balbino Fuenmayor","LAR","1B",10,10,"86.0",93,"9.30","9.73",0,NA,NA
"156","2019","Eddie Gamboa","MTY","P",9,0,"12.1",6,"0.67","4.50",0,NA,NA
"157","2019","Juan Carlos Gamboa","MEX","2B",4,3,"30.0",17,"4.25","5.10",0,NA,NA
"158","2019","Miguel Gamboa","TIG","2B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"159","2019","Miguel Gamboa","TIG","SS",2,0,"4.0",2,"1.00","4.50",0,NA,NA
"160","2019","Luis Gamez","LAG","P",32,1,"28.1",6,"0.19","1.93",0,NA,NA
"161","2019","Frank Garces","CAM","P",23,23,"131.2",18,"0.78","1.24",0,NA,NA
"162","2019","Alan Garcia","PUE","LF",28,13,"128.2",21,"0.75","1.48",0,NA,NA
"163","2019","Alan Garcia","PUE","RF",10,2,"36.0",6,"0.60","1.50",0,NA,NA
"164","2019","Brian Garcia","LAG","SS",8,2,"28.2",12,"1.50","3.86",0,NA,NA
"165","2019","Gabriel Garcia","TIJ","P",11,11,"55.0",3,"0.27","0.49",0,NA,NA
"166","2019","Juan Carlos Garcia","AGS","1B",1,0,"1.0",2,"2.00","18.00",0,NA,NA
"167","2019","Sergio Garcia","PUE","LF",4,1,"14.0",4,"1.00","2.57",0,NA,NA
"168","2019","Sergio Garcia","PUE","CF",17,12,"113.1",28,"1.65","2.23",0,NA,NA
"169","2019","Jonas Garibay","YUC","P",7,2,"17.1",3,"0.43","1.59",0,NA,NA
"170","2019","Adrian Garza","TAB","P",23,22,"113.0",15,"0.65","1.19",0,NA,NA
"171","2019","Antonio Garzon","CAM","P",38,0,"19.0",1,"0.03","0.47",0,NA,NA
"172","2019","Carlos Garzon","DUR","RF",3,1,"13.0",1,"0.33","0.69",0,NA,NA
"173","2019","Chad Gaudin","YUC","P",12,0,"14.2",2,"0.17","1.29",0,NA,NA
"174","2019","Leo German","LAR","LF",79,75,"643.2",135,"1.71","1.89",0,NA,NA
"175","2019","Ferlon Gijsbertha","LEO","P",7,0,"8.2",2,"0.29","2.25",0,NA,NA
"176","2019","Francisco Gil","LEO","P",14,0,"7.2",2,"0.14","2.57",0,NA,NA
"177","2019","Romario Gil","MVA","P",18,10,"63.0",7,"0.39","1.00",0,NA,NA
"178","2019","Amilcar Gomez","AGS","CF",2,0,"3.0",1,"0.50","3.00",0,NA,NA
"179","2019","Amilcar Gomez","AGS","RF",18,4,"61.2",18,"1.00","2.66",0,NA,NA
"180","2019","Francisco Gomez","CAM","P",10,3,"23.0",5,"0.50","1.96",0,NA,NA
"181","2019","Leuris Gomez","LAR","P",13,13,"65.0",12,"0.92","1.66",0,NA,NA
"182","2019","Alejandro Gonzalez","OAX","2B",16,7,"61.2",44,"2.75","6.49",0,NA,NA
"183","2019","Jorge Gonzalez","AGS","RF",13,7,"66.1",15,"1.15","2.05",0,NA,NA
"184","2019","Juan Gonzalez","TIG","P",4,0,"4.0",3,"0.75","6.75",0,NA,NA
"185","2019","Luis Angel Gonzalez","LEO","C",5,0,"6.0",6,"1.20","9.00",0,"16.50",0
"186","2019","Cade Gotta","MVA","CF",41,41,"369.0",85,"2.07","2.07",0,NA,NA
"187","2019","Cade Gotta","MVA","RF",4,4,"31.0",3,"0.75","0.87",0,NA,NA
"188","2019","Justin Greene","TIG","CF",12,8,"82.0",20,"1.67","2.20",0,NA,NA
"189","2019","Joan Gregorio","CAM","P",22,0,"14.0",2,"0.09","1.29",0,NA,NA
"190","2019","Ben Griset","SLT","P",5,1,"3.2",1,"0.20","3.00",0,NA,NA
"191","2019","Mayckol Guaipe","DUR","P",15,5,"29.1",2,"0.13","0.62",0,NA,NA
"192","2019","Tony Guerra","DUR","P",20,0,"15.1",1,"0.05","0.60",0,NA,NA
"193","2019","Daniel Guerrero","LEO","P",30,5,"56.2",5,"0.17","0.80",0,NA,NA
"194","2019","Hector Guerrero","TIG","2B",21,14,"141.0",77,"3.67","4.91",0,NA,NA
"195","2019","Hector Guerrero","TIG","3B",4,1,"13.0",3,"0.75","2.08",0,NA,NA
"196","2019","Jason Gurka","MVA","P",16,5,"25.1",2,"0.13","0.72",0,NA,NA
"197","2019","Adrian Gusman","MTY","P",44,1,"40.0",8,"0.18","1.80",0,NA,NA
"198","2019","Beder Gutierrez","LAR","LF",14,10,"94.0",10,"0.71","0.96",0,NA,NA
"199","2019","Gabriel Gutierrez","TIJ","1B",2,0,"6.0",3,"1.50","4.50",0,NA,NA
"200","2019","Marco Guzman","MTY","LF",6,3,"30.0",7,"1.17","2.10",0,NA,NA
"201","2019","Marco Guzman","MTY","CF",1,0,"6.0",1,"1.00","1.50",0,NA,NA
"202","2019","Miguel Guzman","PUE","2B",5,2,"21.0",18,"3.60","7.71",0,NA,NA
"203","2019","Miguel Guzman","PUE","LF",3,2,"14.0",1,"0.33","0.64",0,NA,NA
"204","2019","Cyle Hankerd","MEX","1B",15,15,"116.0",125,"8.33","9.70",0,NA,NA
"205","2019","Cyle Hankerd","MEX","LF",16,16,"115.2",16,"1.00","1.25",0,NA,NA
