"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"67","EDGAR GOMEZ",22,13,1,10,10,4,4,0,0,0,0,1
"68","EDGAR GONZALEZ",46,19,4,9,9,6,2,0,0,0,0,0
"69","EDGAR TORRES",9,5,3,4,4,1,0,0,0,0,2,0
"70","EDUARD SANTOS",4,3,0,4,4,4,2,0,0,1,0,0
"71","EDWIN QUIRARTE",11,13,0,11,9,1,2,0,0,0,0,0
"72","EDWIN SALAS",31,5,0,1,1,11,2,0,1,1,1,2
"73","EGER ACOSTA",14,3,0,3,3,8,3,0,0,0,0,0
"74","EL'HAJJ MUHAMMAD",29,4,0,1,1,1,4,0,1,0,0,3
"75","ERNESTO FRIERI",11,1,1,1,1,5,1,0,0,0,1,2
"76","ESTEBAN HARO",16,10,0,4,4,3,2,1,1,1,2,0
"77","EUMIR SEPULVEDA",55,23,2,17,14,5,15,0,0,3,0,0
"78","FABIAN COTA",12,6,0,1,1,4,2,0,0,0,3,0
"79","FABIAN WILLIAMSON",10,6,1,6,6,4,4,0,1,0,2,0
"80","FEDERICO CASTANEDA",26,5,0,1,1,4,3,0,0,0,3,0
"81","FELIPE ARREDONDO",30,9,4,5,5,8,3,0,1,0,1,0
"82","FELIPE GONZALEZ",24,5,0,2,1,6,4,0,1,1,2,0
"83","FERNANDO GALLEGOS",18,13,2,10,10,6,3,0,0,1,0,0
"84","FERNANDO VILLALOBOS",20,10,1,9,7,2,3,0,1,0,1,0
"85","FRANCISCO CAMPOS",4,6,1,7,7,0,1,0,0,1,0,0
"86","FRANCISCO DEL ROSARIO",33,7,0,1,1,11,5,0,1,0,3,1
"87","FRANCISCO GIL",15,5,1,4,4,1,2,0,0,0,1,0
"88","FRANCISCO HARO",34,11,0,3,2,8,2,0,0,0,0,0
"89","FRANCISCO MORENO",30,16,4,9,7,5,1,0,0,2,0,0
"90","FRANCISCO RODRIGUEZ",53,21,3,13,13,12,8,0,0,2,0,0
"91","FRANKIE DE LA CRUZ",70,32,0,17,15,18,4,0,0,4,0,0
"92","FREDDY GARCIA",38,19,1,8,6,14,1,0,1,2,0,0
"93","FREDY QUINTERO",22,9,1,4,2,4,3,0,0,0,1,1
"94","GABE AGUILAR",13,3,0,0,0,5,2,0,0,0,1,0
"95","GABINO AVALOS",3,2,0,4,3,1,3,0,0,0,0,0
"96","GERARDO GUTIERREZ",16,1,0,3,3,10,3,0,0,0,0,0
"97","GERARDO SANCHEZ",27,10,0,2,2,4,2,0,1,0,3,0
"98","GONZALO OCHOA",10,3,0,0,0,5,1,0,0,0,0,0
"99","GONZALO SANUDO",16,5,0,0,0,5,0,0,0,0,0,0
"100","GUILLERMO TRUJILLO",50,12,2,6,6,7,3,0,2,0,0,0
"101","HASSAN PENA",10,14,1,8,8,4,4,0,0,2,1,0
"102","HECTOR AMBRIZ",24,10,0,3,3,8,2,0,0,1,0,0
"103","HECTOR GALVAN",32,19,2,12,10,5,5,1,0,3,0,0
"104","HENDERSON ALVAREZ",41,19,1,10,10,8,3,0,1,0,0,0
"105","HENRY OMANA",29,5,0,8,7,2,14,1,0,1,1,0
"106","HERIBERTO RUELAS",35,4,0,0,0,13,6,0,1,0,2,2
"107","HUGO GUTIERREZ",3,7,0,6,6,1,0,0,0,0,0,0
"108","HUMBERTO MONTIEL",19,13,0,9,9,3,7,0,0,1,1,0
"109","IRWIN DELGADO",79,36,5,24,13,22,10,0,2,0,0,0
"110","ISAAC JIMENEZ",6,7,0,4,4,2,0,0,1,0,0,0
"111","ISMAEL CASTILLO",15,2,1,4,4,6,3,0,0,1,1,0
"112","IVAN SALAS",19,3,0,0,0,2,2,0,1,0,5,0
"113","IVAN ZAVALA",20,5,0,2,2,4,3,0,0,1,0,0
"114","JAIME LUGO",36,22,3,11,11,9,2,0,0,1,0,0
"115","JASON URQUIDEZ",18,8,0,2,2,5,0,0,0,0,0,3
"116","JAVIER REYNOSO",19,8,1,4,4,2,5,0,0,0,2,0
"117","JAVIER SOLANO",59,27,2,13,11,14,4,0,3,1,0,0
"118","JEAN MACHI",34,14,3,11,9,9,2,0,1,3,3,2
"119","JEFF IBARRA",23,4,0,1,1,10,1,0,1,0,2,0
