"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"95","2019","Francisco Gracia","MEX","P",2,0,"2.0","4.50",0,0,0,0,0,2,1,0,9,2,0,1,1,1,1
"96","2019","Jake Sanchez","TIJ","P",36,0,"38.0","4.50",3,3,13,18,3,42,8,1,155,35,3,19,2,4,2
"97","2019","Edwyn Valle","DUR","P",5,0,"10.0","4.50",0,0,0,0,0,9,9,0,53,14,3,5,0,0,1
"98","2019","Irving Machuca","CAM","P",36,1,"37.2","4.54",1,2,1,2,3,39,23,2,173,35,2,19,4,1,7
"99","2019","Juan Sandoval","OAX","P",55,0,"57.1","4.55",3,4,1,8,21,45,19,2,249,59,11,29,2,2,8
"100","2019","Casey Harman","PUE","P",13,13,"69.0","4.57",8,1,0,0,0,54,15,0,293,75,14,35,1,8,1
"101","2019","Luke Heimlich","LAR","P",21,21,"118.0","4.58",8,7,0,0,0,109,39,1,526,141,13,60,8,13,11
"102","2019","Felix Doubront","SLT","P",22,22,"125.2","4.58",8,6,0,0,0,108,26,0,541,151,11,64,3,13,9
"103","2019","Jorge Castillo","TIG","P",25,23,"119.1","4.60",11,8,0,0,0,110,39,1,495,122,18,61,1,10,5
"104","2019","Kenneth Sigman","LAR","P",17,13,"74.1","4.60",7,3,0,0,1,54,25,0,341,95,6,38,8,8,1
"105","2019","Juan Antonio Pena","PUE","P",20,8,"43.0","4.60",0,1,0,0,0,30,27,1,193,45,3,22,3,9,1
"106","2019","Jesus Adrian Castillo","CAM","P",59,0,"41.0","4.61",3,1,1,4,10,28,17,3,188,52,8,21,3,3,3
"107","2019","Orlando Lara","TIJ","P",21,21,"104.0","4.67",7,5,0,0,0,111,33,0,444,108,14,54,3,6,6
"108","2019","Miguel Mejia","CAM","P",26,0,"25.0","4.68",1,4,8,10,1,21,14,2,118,31,3,13,1,3,1
"109","2019","Jose De Paula","LEO","P",18,18,"90.1","4.68",6,1,0,0,0,87,29,0,402,117,7,47,2,11,3
"110","2019","Jose Miguel Sanchez","LAG","P",7,0,"7.2","4.70",0,0,0,0,0,4,12,0,41,6,0,4,1,1,3
"111","2019","Zach Phillips","MVA","P",43,0,"36.1","4.71",3,4,0,2,7,35,13,0,161,42,3,19,1,6,0
"112","2019","Pedro Beato","MEX","P",28,0,"28.2","4.71",3,1,3,6,5,24,12,3,126,29,2,15,1,1,4
"113","2019","Elian Leyva","MTY","P",19,12,"70.2","4.71",4,2,1,1,1,60,25,0,310,78,8,37,2,7,7
"114","2019","Francisco Campos","CAM","P",9,7,"40.0","4.73",2,2,0,0,0,19,14,0,171,41,9,21,1,1,3
"115","2019","Daniel Rodriguez","MVA","P",22,22,"112.1","4.73",8,6,0,0,0,115,37,1,487,124,20,59,3,7,13
"116","2019","Omar Bencomo","LEO","P",16,13,"66.1","4.75",5,3,1,1,0,37,18,0,288,73,10,35,8,6,3
"117","2019","Alex Delgado","OAX","P",25,25,"142.0","4.75",8,4,0,0,0,127,37,0,609,159,20,75,2,12,5
"118","2019","Yair Lozoya","CAM","P",35,0,"37.2","4.78",1,2,1,3,3,24,15,0,161,36,9,20,0,4,4
"119","2019","Fabian Williamson","SLT","P",49,1,"30.0","4.80",0,1,0,2,2,37,34,2,159,33,2,16,1,3,11
"120","2019","Marco Tovar","MTY","P",18,16,"82.1","4.81",7,3,0,0,1,51,19,0,357,99,12,44,3,9,4
"121","2019","Patrick Johnson","MEX","P",24,24,"119.2","4.81",10,5,0,0,0,97,48,0,544,145,12,64,9,15,2
"122","2019","Benny Suarez","SLT","P",46,0,"37.1","4.82",4,2,1,5,5,12,16,4,164,40,6,20,0,4,1
"123","2019","Henderson Alvarez III","TIG","P",30,10,"87.2","4.83",5,6,0,2,3,60,23,0,386,112,15,47,0,9,9
"124","2019","Isaac Jimenez","DUR","P",54,0,"54.0","4.83",2,4,1,7,16,45,24,2,249,65,7,29,3,5,12
"125","2019","Dalton Rodriguez","YUC","P",37,0,"39.0","4.85",2,0,0,0,2,22,10,0,162,35,6,21,4,2,4
"126","2019","Mauricio Lara","PUE","P",24,22,"111.0","4.86",5,10,0,0,0,69,33,1,493,135,19,60,9,14,4
"127","2019","Mike Antonini","PUE","P",26,0,"20.1","4.87",0,1,1,2,3,19,11,3,91,20,3,11,0,3,1
"128","2019","Frankie De La Cruz","LAG","P",22,18,"113.2","4.91",6,6,1,1,0,92,38,0,501,129,14,62,8,15,15
"129","2019","Chad Gaudin","YUC","P",12,0,"14.2","4.91",1,1,4,4,0,10,5,0,66,21,3,8,0,3,0
"130","2019","Jhan Mariñez","MEX","P",7,0,"7.1","4.91",0,2,0,1,5,10,6,2,34,6,1,4,0,0,0
"131","2019","Marlon Arias","TIG","P",14,14,"74.1","4.96",3,4,0,0,0,76,37,1,338,69,10,41,13,4,9
"132","2019","Kelvin Marte","SLT","P",14,13,"70.2","4.97",5,3,0,0,0,44,34,1,322,90,10,39,3,12,2
"133","2019","Rafael Martín","SLT","P",43,0,"47.0","4.98",2,4,21,23,0,54,15,3,211,55,10,26,3,2,4
"134","2019","Jorge Martinez","DUR","P",23,22,"117.0","5.00",4,9,1,1,0,95,28,0,513,145,14,65,6,10,4
"135","2019","Ivan Pineyro","DUR","P",10,9,"45.0","5.00",2,2,0,0,0,29,15,0,191,48,7,25,1,6,4
"136","2019","Ivan Zavala","LAR","P",73,1,"61.0","5.02",4,1,0,1,20,39,21,2,271,69,9,34,9,11,3
"137","2019","Ryan Kelly","PUE","P",24,0,"25.0","5.04",1,1,4,5,5,17,7,0,102,26,3,14,0,1,1
"138","2019","Carlos De Leon","CAM","P",41,8,"80.0","5.06",3,3,1,3,5,77,41,1,348,73,8,45,9,12,7
"139","2019","Oscar Felix","YUC","P",31,0,"16.0","5.06",1,0,0,1,4,10,9,0,69,16,1,9,1,3,0
"140","2019","Raul Carrillo","SLT","P",25,25,"137.0","5.12",9,9,0,0,0,99,44,0,606,178,18,78,6,17,12
"141","2019","Nestor Molina","AGS","P",24,24,"136.2","5.14",7,12,0,0,0,112,45,2,613,161,18,78,7,12,10
"142","2019","Marco Antonio Rivas","DUR","P",46,0,"43.2","5.15",2,2,1,2,12,40,29,3,202,45,7,25,5,7,2
"143","2019","Manuel Chavez","YUC","P",44,0,"22.2","5.16",1,0,0,2,9,33,14,0,105,24,2,13,1,2,3
"144","2019","Logan Darnell","MTY","P",11,8,"47.0","5.17",5,5,1,1,0,30,12,0,206,53,4,27,1,4,3
"145","2019","Adrian Garza","TAB","P",23,22,"113.0","5.18",5,5,0,0,0,56,29,2,510,148,16,65,5,12,9
"146","2019","Vicente Campos","PUE","P",11,0,"8.2","5.19",0,1,0,0,2,3,8,2,42,9,3,5,0,0,2
"147","2019","Casey Coleman","TIJ","P",33,15,"78.0","5.19",3,8,6,7,2,73,31,1,349,88,14,45,6,10,1
"148","2019","Jonas Garibay","YUC","P",7,2,"17.1","5.19",0,0,0,0,0,13,4,0,79,21,2,10,2,1,0
"149","2019","Mario Jimenez","TAB","P",48,1,"43.1","5.19",3,3,1,1,8,23,26,0,205,47,5,25,10,9,6
"150","2019","Jonathan Sánchez","SLT","P",22,20,"109.0","5.20",8,6,0,0,2,102,39,0,495,132,18,63,10,7,7
"151","2019","Antonio Garzon","CAM","P",38,0,"19.0","5.21",3,1,0,0,9,17,4,0,77,15,3,11,2,2,1
"152","2019","Carlos Felix","OAX","P",33,8,"63.2","5.23",4,5,0,1,8,28,18,1,283,82,8,37,4,16,2
"153","2019","Javier Solano","TIG","P",24,23,"130.0","5.26",10,7,0,0,0,96,26,1,573,162,23,76,9,10,6
"154","2019","Jesse Estrada","YUC","P",23,16,"85.1","5.27",8,3,0,0,0,62,24,0,379,97,8,50,7,8,1
"155","2019","Adrian Ramirez","DUR","P",38,0,"35.2","5.30",3,1,0,1,4,41,12,2,166,43,8,21,6,0,6
"156","2019","Terance Marin","TIJ","P",18,17,"88.0","5.32",7,3,0,0,0,54,18,0,384,121,10,52,2,16,5
"157","2019","Amilcar Gaxiola","DUR","P",20,16,"91.1","5.32",6,5,0,0,0,55,39,0,409,107,11,54,6,12,6
"158","2019","Manuel Flores","CAM","P",22,22,"121.2","5.33",9,8,0,0,0,102,37,0,525,125,18,72,7,11,4
"159","2019","Cesilio Pimentel","LAR","P",30,17,"120.2","5.37",9,6,0,0,4,75,42,2,528,135,25,72,1,15,3
"160","2019","Wilmer Rios","MVA","P",27,11,"80.1","5.38",7,5,0,0,0,65,15,2,353,98,18,48,6,5,4
"161","2019","Octavio Acosta","MEX","P",24,22,"121.2","5.40",12,8,0,0,0,92,43,0,544,157,13,73,12,13,6
"162","2019","Ronald Belisario","YUC","P",43,0,"41.2","5.40",3,7,4,9,8,27,8,1,187,52,4,25,4,4,3
"163","2019","Nick Lee","DUR","P",9,0,"10.0","5.40",0,1,0,1,2,7,14,3,49,6,0,6,0,1,4
"164","2019","Joel Munoz","PUE","P",11,0,"8.1","5.40",0,0,0,0,0,5,7,2,45,11,1,5,2,0,1
"165","2019","Braulio Torres-Perez","PUE","P",40,0,"18.1","5.40",2,2,0,2,3,17,5,0,80,18,2,11,1,1,5
"166","2019","José A. Váldez","AGS","P",26,16,"103.1","5.40",6,3,0,0,1,87,47,1,456,104,10,62,2,4,14
