"","Season","Name","Team","POS","GP","AB","PA","H","RBI","SB","2B","3B","HR","R","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS"
"1","2024","Pedro Castellanos","OAX","X",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"1.000","1.000","1.000","2.000"
"2","2024","Joseph Uzeta","MEX","C",1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,"1.000","1.000","1.000","2.000"
"3","2024","Luis Medina","PUE","X",5,3,4,2,1,0,0,0,0,2,2,1,0,0,0,".667",".750",".667","1.417"
"4","2024","Jafet Ojeda","YUC","X",8,5,6,3,0,0,1,0,0,2,4,0,2,1,0,".600",".667",".800","1.467"
"5","2024","Manuel Barradas","TAB","X",3,2,2,1,0,0,0,0,0,0,1,0,1,0,0,".500",".500",".500","1.000"
"6","2024","Giancarlo Servin","PUE","X",3,4,4,2,0,0,0,0,0,0,2,0,0,0,0,".500",".500",".500","1.000"
"7","2024","Sandber Pimentel","LEO","DH",7,22,30,10,7,1,2,0,1,4,15,1,4,7,1,".455",".600",".682","1.282"
"8","2024","Robinson Canó","MEX","2B",78,327,360,141,77,0,26,0,14,62,209,4,41,26,4,".431",".475",".639","1.114"
"9","2024","Vimael Machín","JAL","3B",85,304,363,122,54,10,31,1,7,64,176,1,37,56,3,".401",".494",".579","1.073"
"10","2024","Ramón Cabrera","YUC","C",3,10,11,4,1,0,0,0,1,1,7,0,2,1,0,".400",".455",".700","1.155"
"11","2024","Jose Vargas","QRO","1B",1,5,5,2,2,0,1,0,0,1,3,0,2,0,0,".400",".400",".600","1.000"
"12","2024","Yurisbel Gracial","QRO","LF",87,348,387,133,83,2,24,2,24,95,233,1,71,35,1,".382",".437",".670","1.107"
"13","2024","Lewin Díaz","MEX","1B",75,269,314,101,77,1,16,0,19,52,174,1,54,40,2,".375",".452",".647","1.099"
"14","2024","Felix Perez","TAB","DH",43,121,136,45,25,1,5,0,6,16,68,3,17,11,2,".372",".434",".562",".996"
"15","2024","Beder Gutierrez","QRO","X",12,35,41,13,9,0,6,0,4,11,31,0,7,6,0,".371",".463",".886","1.349"
"16","2024","Wilfredo Tovar","AGS","SS",87,350,395,130,44,4,19,2,7,72,174,4,28,39,0,".371",".440",".497",".937"
"17","2024","Jerar Encarnacion","OAX","LF",26,93,107,34,36,2,1,0,19,33,92,0,26,13,1,".366",".439",".989","1.428"
"18","2024","Sergio Perez","AGS","X",31,52,57,19,6,0,3,0,1,9,25,1,12,4,0,".365",".421",".481",".902"
"19","2024","José Marmolejos","MEX","1B",70,261,322,95,48,3,17,2,10,64,146,1,45,55,4,".364",".470",".559","1.029"
"20","2024","Moisés Castillo","AGS","X",7,22,25,8,5,1,1,0,2,7,15,0,6,3,0,".364",".440",".682","1.122"
"21","2024","Alexi Amarista","OAX","2B",87,368,401,133,57,1,25,5,15,67,213,3,41,23,1,".361",".402",".579",".981"
"22","2024","Brayan Mendoza","MTY","CF",52,39,45,14,6,0,3,1,1,9,22,0,8,4,0,".359",".419",".564",".983"
"23","2024","Henry Urrutia","LEO","1B",79,288,326,103,48,2,18,1,7,46,144,2,48,34,5,".358",".426",".500",".926"
"24","2024","Aldo Nunez","MVA","2B",9,14,16,5,1,2,0,0,0,2,5,1,4,1,0,".357",".438",".357",".795"
"25","2024","Christopher Escarrega","MTY","C",14,45,48,16,7,0,6,0,0,10,22,0,12,3,0,".356",".396",".489",".885"
"26","2024","Keven Lamas","SLT","SS",79,274,314,97,46,3,15,3,11,54,151,9,47,27,0,".354",".426",".551",".977"
